=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/DE/3p-crawl
Date: 2026-03-27T12:19:43.855Z

--- Summary ---
Total JSON files: 99917
Files with potential popups: 81247
Total potential popups: 129767
  └─ AI-confirmed cookie popups: 47325
      └─ No reject buttons: 20832
          └─ No settings buttons: 16991 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 6136 entries) ---
Count | Button Text
    8 | privacy and cookie policy
    8 | preferenze cookies
    8 | acceptér alle
    8 | vorlieben
    8 | datenschutzerklärung von utiq
    8 | utiq jetzt ablehnen
    8 | über 600 andere websites
    8 | disagree
    8 | our cookie policy
    8 | nur technische cookies akzeptieren
    8 | borlabs cookie - tcf-cmp id: 323
    8 | datenschutz- und cookie-richtlinie
    8 | cookie declaration
    8 | weitere informationen zum datenschutz
    8 | cookie notice
    8 | infos
    8 | no, thank you
    8 | werbung
    8 | analytik
    8 | erstreckung von einwilligungen auf geräte, apps inhalte ohne grafische benutzerschnittstelle
    8 | afvis
    8 | withdraw consent
    8 | cookies auswählen
    8 | fortfahren
    8 | datenschutzinformationszentrum
    8 | no thanks
    8 | allen cookies zustimmen
    8 | datens chutz
    8 | terze parti
    8 | lassen sie mich wählen...
    8 | informationen zu cookies und ihre widerspruchsmöglichkeit
    8 | zezwól na wszystkie
    8 | faqs
    8 | alle auswählen und bestätigen
    8 | hyväksy
    8 | cookies policy.
    8 | partenaires
    8 | - datenschutz
    8 | условия
    8 | function
    8 | cookie statement
    8 | cookie richtlinien
    8 | ▼ details anzeigen
    8 | weitere information
    8 | einstellungen ablehnen
    8 | nutzen sie schon contentpass ? hier einloggen
    8 | zustimmen und weiter mit werbung
    8 | kostenlos.
    8 | im over 18
    8 | speichern + beenden
    8 | akkoord
    8 | zustimmen und fortfahren
    8 | einstellungen individualisieren
    8 | akceptuję i przechodzę do serwisu
    8 | zaufani partnerzy
    8 | zaufani partnerzy iab
    8 | wirtualna polska
    8 | zaufanych partnerów
    8 | wirtualną polskę
    8 | erforderliche cookies
    8 | wordpress cookie-hinweis von real cookie banner
    8 | fremdinhalte anzeigen (soziale netzwerke und chat-systeme)
    8 | eigene produkt- und vertriebsentwicklung
    8 | alle cookies akzeptieren und weiter
    8 | mehr details
    8 | i weitere informationen
    8 | akzeptieren ausgewählter skripte cookies
    8 | akzeptieren aller skripte cookies
    8 | akzeptiere alle
    8 | impressu m
    8 | werbefrei für 4,99 € monat
    7 | googles privacy terms
    7 | понятно
    7 | mehr infos.
    7 | accetto tutti i cookies
    7 | accetto
    7 | ändern
    7 | einstellungen konfigurieren
    7 | für 2,99 €monat abonnieren
    7 | confirm my choices
    7 | klicken sie hier
    7 | ich bin nicht einverstanden
    7 | leugnen
    7 | lese mehr über diese zwecke
    7 | ustawienia prywatności
    7 | tillad alle cookies
    7 | kun nødvendige cookies
    7 | verwendung von cookies
    7 | individual settings
    7 | notwendige cookies erlauben
    7 | datenschutzerklärung lesen
    7 | accetta e continua
    7 | zum login
    7 | nur mit erforderlichen cookies fortfahren
    7 | technisch notwendige cookies
    7 | polityka prywatności
    7 | cookies zustimmen
    7 | acepto
    7 | externe inhalte nachladen
    7 | zustimmen und laden
    7 | cookie einstellungen verwalten
    7 | ok, got it!
    7 | nur unbedingt erforderliche cookies akzeptieren
    7 | zurück zur übersicht
    7 | impressum und datenschutz
    7 | más información
    7 | cookie hinweisen
    7 | cookie-nutzung
    7 | google
    7 | parental control guide
    7 | 18 u.s.c. 2257 record-keeping requirements compliance statement.
    7 | datenschutz-seite
    7 | further information
    7 | accepter alle
    7 | service
    7 | anpassen von cookies
    7 | ausführliche informationen
    7 | unsere 1570 partner
    7 | ich stimme allen cookies zu
    7 | matomo
    7 | marketing cookies
    7 | rechazar y pagar
    7 | personnaliser
    7 | google iab tcf 2 purposes of processing
    7 | werbefrei für 3.99 € monat
    7 | tümünü kabul et
    7 | cookies löschen
    7 | 97 partner
    7 | alle cookies ablehnen und weiter
    7 | webanalyse deaktivieren
    7 | prisma media
    7 | use precise geolocation data
    7 | pannello delle preferenze pubblicitarie
    6 | accepteren
    6 | agree close
    6 | einstellungen zum datenschutz
    6 | nur ausgewählte cookies akzeptieren
    6 | alles accepteren
    6 | funktionalität
    6 | datenschutzbestimmungen.
    6 | datenschutz-hinweisen.
    6 | (datenschutz und nutzungsbedingungen)
    6 | externe inhalte
    6 | auswahl zustimmen
    6 | ausgewählte cookies zulassen
    6 | 420 partner
    6 | akzeptiert
    6 | nicht erforderliche cookies ablehnen
    6 | log in
    6 | https:business.safety.googleprivacy
    6 | przejdź do serwisu
    6 | polityce cookies
    6 | хорошо
    6 | auswahl
    6 | präferenzen verwalten
    6 | datenschutzeinstellungen anpassen
    6 | finalità pubblicitarie
    6 | notwendige cookies verwenden
    6 | ich verstehe
    6 | zgoda
    6 | odmítnout
    6 | about cookies
    6 | aviso legal
    6 | 161 partner
    6 | info-seite
    6 | nur notwendige verwenden
    6 | nur essenzielle cookies zulassen
    6 | akzeptieren!
    6 | aanpassen
    6 | cookie informationen anzeigen
    6 | datenschutz-richtlinien
    6 | confirm
    6 | datensc hutz
    6 | eigene auswahl bestätigen
    6 | prihvati sve
    6 | datenschutzrichtlinie.
    6 | mit diesem button wird der dialog geschlossen. seine funktionalität ist identisch mit der des buttons essenzielle cookies akzeptieren.
    6 | hinweise zum datenschutz
    6 | ok.
    6 | akceptuj wszystkie
    6 | ich habe verstanden!
    6 | weitere optionen
    6 | avslå
    6 | wir
    6 | zaufanych partnerów tvp
    6 | alle dienste erlauben
    6 | ok, verstanden!
    6 | nur technisch notwendige cookies zulassen
    6 | godta alle
    6 | auswahl anpassen
    6 | ⓘ all details
    6 | targeting (3rd party)
    6 | (mehr)
    6 | configurar
    6 | gestisci le opzioni
    6 | webanalyse aktivieren
    6 | accepter fermer
    6 | in unseren faq
    6 | anmeldung für abonnenten
    6 | hinweis gelesen
    6 | only allow required cookies
    6 | weiter ohne tracking
    6 | einstellungen und ablehnen
    6 | zur datenschutzerklärung.
    6 | tracking deaktivieren
    6 | çerez politikası
    6 | only accept necessary cookies
    6 | sabonner et refuser les cookies
    6 | nestlé deutschland ag und mit ihr gesellschaftsrechtlich verbundenen unternehmen
    6 | details anzeigen öffnet detaillierte cookie-einstellungen
    6 | alle akzeptieren akzeptiert alle cookies einschließlich marketing und analyse
